incidentTypeKey,incidentType,designatedIncidentTypes
1,Severe Storm,"4,M,W,Z,F"
2,Fire,R
3,Severe Storm,
4,Fire,"R,Z"
5,Fire,
6,Flood,"2,M,W,F"
7,Winter Storm,W
8,Straight-Line Winds,2
9,Flood,W
10,Severe Storm,"2,M,W,F"
11,Hurricane,
12,Severe Storm,W
13,Hurricane,H
14,Biological,
15,Tropical Storm,"4,J"
16,Flood,
17,Severe Storm,"2,5,W"
18,Winter Storm,"5,W"
19,Chemical,L
20,Tornado,T
21,Severe Storm,"2,5,M,W"
22,Winter Storm,5
23,Severe Storm,"5,W"
24,Severe Storm,"2,5,M"
25,Winter Storm,"2,5"
26,Fire,Z
27,Severe Storm,"2,5,M,W,F"
28,Flood,"2,W,F"
29,Flood,F
30,Flood,"W,Z,F,H"
31,Severe Storm,"W,F"
32,Severe Storm,"2,W,F,T"
33,Severe Storm,"5,W,F,T"
34,Severe Storm,"2,W"
35,Tropical Storm,J
36,Hurricane,J
37,Tornado,
38,Winter Storm,"5,M"
39,Earthquake,A
40,Typhoon,
41,Snowstorm,"5,S,W"
42,Earthquake,E
43,Freezing,
44,Winter Storm,"5,S,W"
45,Winter Storm,"5,S"
46,Snowstorm,"2,5,S"
47,Severe Storm,"W,T"
48,Hurricane,"4,H"
49,Mud/Landslide,
50,Snowstorm,
51,Coastal Storm,
52,Other,
53,Severe Ice Storm,
54,Earthquake,
55,Dam/Levee Break,
56,Flood,"W,F,T"
57,Fire,"2,R"
58,Severe Storm,"2,R,W,T"
59,Severe Storm,"2,5,R,W,F,T"
60,Volcanic Eruption,
61,Flood,"W,F"
62,Severe Storm,F
63,Severe Storm,"2,M,W,F,T"
64,Severe Storm,"W,F,T"
65,Severe Storm,T
66,Severe Storm,S
67,Severe Storm,"2,4,W,F"
68,Severe Ice Storm,"5,O"
69,Flood,"2,W,F,T"
70,Severe Storm,"M,W,F"
71,Severe Storm,"F,T"
72,Tropical Storm,"4,H"
73,Tropical Storm,"2,4,W,F"
74,Tropical Storm,"4,F,H,T"
75,Flood,"M,F"
76,Tropical Storm,"4,8"
77,Tropical Storm,4
78,Severe Storm,"2,W,T"
79,Tropical Depression,"4,8"
80,Tropical Storm,"4,W"
81,Other,Z
82,Hurricane,"4,F,H"
83,Severe Storm,"2,W,Z,F,T"
84,Straight-Line Winds,"2,W"
