locationKey,state,femaRegion,region,designatedArea,fipsStateCode,fipsCountyCode,placeCode
1,PR,Region 2,2,Adjuntas (Municipio),72,1,99001
2,OR,Region 10,10,Washington (County),41,67,99067
3,OR,Region 10,10,Jefferson (County),41,31,99031
4,OR,Region 10,10,Deschutes (County),41,17,99017
5,PR,Region 2,2,Aguada (Municipio),72,3,99003
6,PR,Region 2,2,Aguadilla (Municipio),72,5,99005
7,CA,Region 9,9,Resighini Rancheria (Indian Reservation),6,0,60347
8,AL,Region 4,4,Autauga (County),1,1,99001
9,AL,Region 4,4,Barbour (County),1,5,99005
10,AL,Region 4,4,Blount (County),1,9,99009
11,PR,Region 2,2,Aguas Buenas (Municipio),72,7,99007
12,PR,Region 2,2,Aibonito (Municipio),72,9,99009
13,PR,Region 2,2,Anasco (Municipio),72,11,99011
14,PR,Region 2,2,Arecibo (Municipio),72,13,99013
15,AL,Region 4,4,Bullock (County),1,11,99011
16,AL,Region 4,4,Butler (County),1,13,99013
17,PR,Region 2,2,Arroyo (Municipio),72,15,99015
18,PR,Region 2,2,Barceloneta (Municipio),72,17,99017
19,PR,Region 2,2,Barranquitas (Municipio),72,19,99019
20,PR,Region 2,2,Bayamon (Municipio),72,21,99021
21,PR,Region 2,2,Cabo Rojo (Municipio),72,23,99023
22,OR,Region 10,10,Baker (County),41,1,99001
23,OR,Region 10,10,Malheur (County),41,45,99045
24,PR,Region 2,2,Caguas (Municipio),72,25,99025
25,OR,Region 10,10,Grant (County),41,23,99023
26,OR,Region 10,10,Morrow (County),41,49,99049
27,OR,Region 10,10,Umatilla (County),41,59,99059
28,OR,Region 10,10,Harney (County),41,25,99025
29,OR,Region 10,10,Gilliam (County),41,21,99021
30,OR,Region 10,10,Wheeler (County),41,69,99069
31,PR,Region 2,2,Camuy (Municipio),72,27,99027
32,MT,Region 8,8,Broadwater (County),30,7,99007
33,MT,Region 8,8,Lewis And Clark (County),30,49,99049
34,OR,Region 10,10,Wasco (County),41,65,99065
35,PR,Region 2,2,Canovanas (Municipio),72,29,99029
36,AL,Region 4,4,Chambers (County),1,17,99017
37,AL,Region 4,4,Cherokee (County),1,19,99019
38,AL,Region 4,4,Clay (County),1,27,99027
39,PR,Region 2,2,Carolina (Municipio),72,31,99031
40,PR,Region 2,2,Catano (Municipio),72,33,99033
41,PR,Region 2,2,Cayey (Municipio),72,35,99035
42,PR,Region 2,2,Ceiba (Municipio),72,37,99037
43,PR,Region 2,2,Ciales (Municipio),72,39,99039
44,PR,Region 2,2,Cidra (Municipio),72,41,99041
45,PR,Region 2,2,Coamo (Municipio),72,43,99043
46,PR,Region 2,2,Comerio (Municipio),72,45,99045
47,PR,Region 2,2,Corozal (Municipio),72,47,99047
48,PR,Region 2,2,Culebra (Municipio),72,49,99049
49,AL,Region 4,4,Cleburne (County),1,29,99029
50,PR,Region 2,2,Dorado (Municipio),72,51,99051
51,NM,Region 6,6,Lincoln (County),35,27,99027
52,OK,Region 6,6,Woodward (County),40,153,99153
53,OK,Region 6,6,Ellis (County),40,45,99045
54,TX,Region 6,6,Hemphill (County),48,211,99211
55,TX,Region 6,6,Hutchinson (County),48,233,99233
56,TX,Region 6,6,Roberts (County),48,393,99393
57,TX,Region 6,6,Moore (County),48,341,99341
58,LA,Region 6,6,Rapides (Parish),22,79,99079
59,LA,Region 6,6,Vernon (Parish),22,115,99115
60,LA,Region 6,6,Beauregard (Parish),22,11,99011
61,WA,Region 10,10,Spokane (County),53,63,99063
62,MT,Region 8,8,Sanders (County),30,89,99089
63,HI,Region 9,9,Hawaii (County),15,1,99001
64,HI,Region 9,9,Maui (County),15,9,99009
65,PR,Region 2,2,Fajardo (Municipio),72,53,99053
66,WA,Region 10,10,Okanogan (County),53,47,99047
67,PR,Region 2,2,Florida (Municipio),72,54,99054
68,WA,Region 10,10,Klickitat (County),53,39,99039
69,WA,Region 10,10,Grant (County),53,25,99025
70,WA,Region 10,10,Mason (County),53,45,99045
