femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
EM-3610-PR,3610,PR,EM,2024-08-13T00:00:00.000Z,2024,Severe Storm,TROPICAL STORM ERNESTO,0,0,1,0,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,,0,72,1,99001,Adjuntas (Municipio),24124,,2024080901,2,"4,M,W,Z,F",2026-04-27T18:01:29.390Z,ccd089a290654da031dfd82dd3a626b757e6166e,002e8dfc-2a00-49c3-915c-b4cbd2b301b7
FM-5529-OR,5529,OR,FM,2024-08-09T00:00:00.000Z,2024,Fire,LEE FALLS FIRE,0,0,1,1,2024-08-08T00:00:00.000Z,,,0,41,67,99067,Washington (County),24122,,2024081001,10,R,2024-08-27T18:22:14.800Z,ae87cf3c6ed795015b714af7166c7c295b2b67c7,09e3f81a-5e16-4b72-b317-1c64e0cfa59c
FM-5528-OR,5528,OR,FM,2024-08-06T00:00:00.000Z,2024,Fire,ELK LANE FIRE,0,0,1,1,2024-08-04T00:00:00.000Z,,,0,41,31,99031,Jefferson (County),24116,,2024080701,10,R,2024-08-27T18:22:14.800Z,432cf0995c47e3895cea696ede5621b810460501,59983f89-30bf-4888-b21b-62e8d57d9aac
FM-5527-OR,5527,OR,FM,2024-08-02T00:00:00.000Z,2024,Fire,MILE MARKER 132 FIRE,0,0,1,1,2024-08-02T00:00:00.000Z,,,0,41,17,99017,Deschutes (County),24111,,2024080301,10,R,2024-08-27T18:22:14.800Z,2f21d90cb6bc64b0d4121aa3f18d852bbb4b11fa,8d13ecf0-bc2f-496b-8c9f-b2e73da832a0
EM-3610-PR,3610,PR,EM,2024-08-13T00:00:00.000Z,2024,Severe Storm,TROPICAL STORM ERNESTO,0,0,1,0,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,,0,72,3,99003,Aguada (Municipio),24124,,2024080901,2,"4,M,W,Z,F",2026-04-27T18:01:29.390Z,0beaa37210d2cf6c22408616fd69f66339aa81db,ade80f2f-aca5-44b3-a6de-d78e2c8bb58b
EM-3610-PR,3610,PR,EM,2024-08-13T00:00:00.000Z,2024,Severe Storm,TROPICAL STORM ERNESTO,0,0,1,0,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,,0,72,5,99005,Aguadilla (Municipio),24124,,2024080901,2,"4,M,W,Z,F",2026-04-27T18:01:29.390Z,3463cbb562f1c8974d5a5c1f09ff240e9ea7b92d,aa9a6ab5-8b5e-4fbf-938e-cf0ebfe78471
DR-4312-CA,4312,CA,DR,2017-05-02T00:00:00.000Z,2017,Severe Storm,FLOODING,0,0,1,1,2017-02-08T00:00:00.000Z,2017-02-11T00:00:00.000Z,2025-03-25T00:00:00.000Z,1,6,0,60347,Resighini Rancheria (Indian Reservation),17035,,2017041001,9,,2025-03-26T20:21:32.579Z,432a3a64bdbb291ae26cf5a27a33deeabb380481,98a7c5bb-2346-45aa-a1ca-0399440d4f0b
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,1,99001,Autauga (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,dcd4ce6b37ee49875b3f1e32e9a8a16cd6a803d3,5229bbae-eee6-42b8-b277-edbafa8d6cb2
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,5,99005,Barbour (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,5b8478f80e09732d1f5195b604b0a3b8ca396a01,2155164c-0c07-4da4-b5d1-d24a831d9bdc
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,9,99009,Blount (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,2aeb06b619f8ac8f58c936d883f04b6ba32539dd,2e772244-38aa-4cce-8f9d-cb3cec41a7af
