id,femaDeclarationString,disasterNumber,declarationType,declarationTitle,fyDeclared,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,tribalRequest,declarationRequestNumber,incidentId,dateKey,locationKey,incidentTypeKey,declarationDate,incidentBeginDate,incidentEndDate,disasterCloseoutDate,lastIAFilingDate,lastRefresh
002e8dfc-2a00-49c3-915c-b4cbd2b301b7,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,1,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
09e3f81a-5e16-4b72-b317-1c64e0cfa59c,FM-5529-OR,5529,FM,LEE FALLS FIRE,2024,0,0,1,1,0,24122,2024081001,20240809,2,2,2024-08-09,2024-08-08,,,,2024-08-27 18:22:14.800
59983f89-30bf-4888-b21b-62e8d57d9aac,FM-5528-OR,5528,FM,ELK LANE FIRE,2024,0,0,1,1,0,24116,2024080701,20240806,3,2,2024-08-06,2024-08-04,,,,2024-08-27 18:22:14.800
8d13ecf0-bc2f-496b-8c9f-b2e73da832a0,FM-5527-OR,5527,FM,MILE MARKER 132 FIRE,2024,0,0,1,1,0,24111,2024080301,20240802,4,2,2024-08-02,2024-08-02,,,,2024-08-27 18:22:14.800
ade80f2f-aca5-44b3-a6de-d78e2c8bb58b,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,5,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
aa9a6ab5-8b5e-4fbf-938e-cf0ebfe78471,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,6,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
98a7c5bb-2346-45aa-a1ca-0399440d4f0b,DR-4312-CA,4312,DR,FLOODING,2017,0,0,1,1,1,17035,2017041001,20170502,7,3,2017-05-02,2017-02-08,2017-02-11,2025-03-25,,2025-03-26 20:21:32.579
5229bbae-eee6-42b8-b277-edbafa8d6cb2,DR-4251-AL,4251,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2016,0,0,1,1,0,16003,2015122301,20160121,8,3,2016-01-21,2015-12-23,2015-12-31,2025-03-27,,2025-03-27 12:21:46.559
2155164c-0c07-4da4-b5d1-d24a831d9bdc,DR-4251-AL,4251,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2016,0,0,1,1,0,16003,2015122301,20160121,9,3,2016-01-21,2015-12-23,2015-12-31,2025-03-27,,2025-03-27 12:21:46.559
2e772244-38aa-4cce-8f9d-cb3cec41a7af,DR-4251-AL,4251,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2016,0,0,1,1,0,16003,2015122301,20160121,10,3,2016-01-21,2015-12-23,2015-12-31,2025-03-27,,2025-03-27 12:21:46.559
ddc09067-eea8-4e8d-9055-e32a740f2965,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,11,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
67741e82-8c65-4558-93be-ec364170a97f,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,12,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
63316099-ec8d-4659-84f8-0c05bccde305,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,13,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
3ab2d47c-fccf-48f9-8eed-c8df5797bfe9,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,14,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
03312824-daf7-4b58-a88a-ae844d72e6d1,DR-4251-AL,4251,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2016,0,0,1,1,0,16003,2015122301,20160121,15,3,2016-01-21,2015-12-23,2015-12-31,2025-03-27,,2025-03-27 12:21:46.559
e3a71c7d-3351-4ee8-96a6-9f1498237a65,DR-4251-AL,4251,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2016,0,0,1,1,0,16003,2015122301,20160121,16,3,2016-01-21,2015-12-23,2015-12-31,2025-03-27,,2025-03-27 12:21:46.559
da4f1a9d-04f9-4c97-9259-053b9b388aa8,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,17,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
0aeac0db-e740-40d8-b1ca-683c4da90277,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,18,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
4ae2aaaf-cb62-4025-924b-c61cd705b41c,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,19,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
f5af535d-26d3-4db2-ab00-577167c443b9,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,20,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
48802dd2-9a15-4057-8c8c-8a9e5cdb205d,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,21,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
f04e205c-f078-44f3-a41c-e99832a27237,FM-5516-OR,5516,FM,DURKEE FIRE,2024,0,0,1,1,0,24093,2024072301,20240722,22,2,2024-07-22,2024-07-21,,,,2024-08-27 18:22:14.800
60983d05-03a4-4b66-90e6-f7889e15fd7d,FM-5516-OR,5516,FM,DURKEE FIRE,2024,0,0,1,1,0,24093,2024072301,20240722,23,2,2024-07-22,2024-07-21,,,,2024-08-27 18:22:14.800
17e0c25b-c916-44d1-8b71-20c30c3d9d02,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,24,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
45427119-abd1-4c6f-b876-d37d55cf97bf,FM-5514-OR,5514,FM,BATTLE MOUNTAIN FIRE COMPLEX,2024,0,0,1,1,0,24092,2024072202,20240721,25,2,2024-07-21,2024-07-21,,,,2024-08-27 18:22:14.800
f3839077-b1f5-4eba-852e-d1db1da541ac,FM-5514-OR,5514,FM,BATTLE MOUNTAIN FIRE COMPLEX,2024,0,0,1,1,0,24092,2024072202,20240721,26,2,2024-07-21,2024-07-21,,,,2024-08-27 18:22:14.800
d0deaa82-4668-4346-9a9f-33db099c2fc5,FM-5514-OR,5514,FM,BATTLE MOUNTAIN FIRE COMPLEX,2024,0,0,1,1,0,24092,2024072202,20240721,27,2,2024-07-21,2024-07-21,,,,2024-08-27 18:22:14.800
ee206396-9fe8-4f37-b973-b0514410fdee,FM-5513-OR,5513,FM,BONEYARD FIRE,2024,0,0,1,1,0,24091,2024072101,20240721,25,2,2024-07-21,2024-07-20,,,,2024-08-27 18:22:14.800
1ae19176-efcc-4b70-a1f6-d7780e07d03b,FM-5512-OR,5512,FM,FALLS FIRE,2024,0,0,1,1,0,24090,2024071901,20240718,25,2,2024-07-18,2024-07-18,,,,2024-08-27 18:22:14.800
e1ace295-e303-42e5-b918-d03810a466a3,FM-5512-OR,5512,FM,FALLS FIRE,2024,0,0,1,1,0,24090,2024071901,20240718,28,2,2024-07-18,2024-07-18,,,,2024-08-27 18:22:14.800
c80ffc22-fa37-4d9b-a2f7-7d04d4944eae,FM-5511-OR,5511,FM,LONE ROCK FIRE,2024,0,0,1,1,0,24089,2024071801,20240718,29,2,2024-07-18,2024-07-17,,,,2024-08-27 18:22:14.800
fffce5f4-378e-4aff-af18-55ab28c7323d,FM-5511-OR,5511,FM,LONE ROCK FIRE,2024,0,0,1,1,0,24089,2024071801,20240718,26,2,2024-07-18,2024-07-17,,,,2024-08-27 18:22:14.800
d4d538ce-7180-4c08-b283-58627bdbf97b,FM-5511-OR,5511,FM,LONE ROCK FIRE,2024,0,0,1,1,0,24089,2024071801,20240718,30,2,2024-07-18,2024-07-17,,,,2024-08-27 18:22:14.800
0c933215-2d56-46a7-96c1-1899a97dae4d,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,31,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
64b35075-676d-4cda-909f-898535f8ca56,FM-5507-MT,5507,FM,HORSE GULCH FIRE,2024,0,0,1,1,0,24085,2024071301,20240712,32,2,2024-07-12,2024-07-09,,,,2024-08-27 18:22:14.800
19e28113-9160-46db-8414-bf44fd27de25,FM-5507-MT,5507,FM,HORSE GULCH FIRE,2024,0,0,1,1,0,24085,2024071301,20240712,33,2,2024-07-12,2024-07-09,,,,2024-08-27 18:22:14.800
a513fae9-a305-437f-99dc-b2afd02af97e,FM-5506-OR,5506,FM,LARCH CREEK FIRE,2024,0,0,1,1,0,24083,2024071101,20240711,34,2,2024-07-11,2024-07-10,,,,2024-08-27 18:22:14.800
0a004789-7f4b-4869-9b31-6c933a9ba278,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,35,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
e49aeebd-566f-425c-9913-f89641f2dbbd,DR-4251-AL,4251,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2016,0,0,1,1,0,16003,2015122301,20160121,36,3,2016-01-21,2015-12-23,2015-12-31,2025-03-27,,2025-03-27 12:21:46.559
43226fde-49bc-4794-ba08-a2c17c1b88a5,DR-4251-AL,4251,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2016,0,0,1,1,0,16003,2015122301,20160121,37,3,2016-01-21,2015-12-23,2015-12-31,2025-03-27,,2025-03-27 12:21:46.559
2042f61a-32d7-4e37-bb3f-139be89572c7,DR-4251-AL,4251,DR,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2016,0,0,1,1,0,16003,2015122301,20160121,38,3,2016-01-21,2015-12-23,2015-12-31,2025-03-27,,2025-03-27 12:21:46.559
da326323-b27a-4850-b7af-5810690c84a8,EM-3610-PR,3610,EM,TROPICAL STORM ERNESTO,2024,0,0,1,0,0,24124,2024080901,20240813,39,1,2024-08-13,2024-08-13,2024-08-16,,,2026-04-27 18:01:29.390
849b4f44-f806-4c28-84ad-61e6662e11b6,FM-5500-OR,5500,FM,DARLENE 3 FIRE,2024,0,0,1,1,0,24072,2024062601,20240625,4,2,2024-06-25,2024-06-25,,,,2024-08-27 18:22:14.800
