id,femaDeclarationString,disasterNumber,state,declarationType,declarationTypeLabel,declarationDate,declarationYear,declarationMonth,declarationMonthName,declarationQuarter,declarationMonthYear,fyDeclared,incidentType,declarationTitle,designatedArea,region,femaRegion,incidentBeginDate,incidentEndDate,disasterCloseoutDate,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,declarationRequestNumber,lastIAFilingDate,incidentId,designatedIncidentTypes,lastRefresh
e31934bb-9999-4c1f-8b95-93cfe1f04fb0,DR-4914-MT,4914,MT,DR,Major Disaster,2026-05-29,2026,5,May,2,2026-05,2026,Winter Storm,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,Fort Peck Indian Reservation,8,Region 8,2025-12-17,2025-12-18,,1,0,0,0,1,30,0,28525,26025,2026-08-01,2025121901,"2,5",2026-06-02 12:21:13.951
bc12d41e-15b5-4765-91fd-c392a0b4ef13,DR-4906-WA,4906,WA,DR,Major Disaster,2026-04-07,2026,4,April,2,2026-04,2026,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",Hoh Indian Reservation,10,Region 10,2025-12-05,2025-12-19,,0,0,1,0,0,53,0,31565,26004,2026-06-10,2025121001,"2,M,W,F",2026-04-11 17:41:22.090
995972c1-81b1-4578-8415-97b09631ad21,DR-4906-WA,4906,WA,DR,Major Disaster,2026-04-07,2026,4,April,2,2026-04,2026,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",Squaxin Island Indian Reservation,10,Region 10,2025-12-05,2025-12-19,,1,0,1,0,0,53,0,67350,26004,2026-06-10,2025121001,"2,M,W,F",2026-04-11 17:41:22.090
b83f98d2-488c-4398-b10a-6e1214c37b3a,DR-4899-MS,4899,MS,DR,Major Disaster,2026-02-06,2026,2,February,1,2026-02,2026,Winter Storm,SEVERE WINTER STORM,Adams (County),4,Region 4,2026-01-23,2026-01-27,,1,0,1,0,0,28,1,99001,26020,2026-06-10,2026012101,5,2026-04-11 11:21:13.349
470dc2cd-ba3d-45bd-8934-688edd16b52e,DR-4898-TN,4898,TN,DR,Major Disaster,2026-02-06,2026,2,February,1,2026-02,2026,Winter Storm,SEVERE WINTER STORM,Carter (County),4,Region 4,2026-01-22,2026-01-27,,0,0,1,0,0,47,19,99019,26018,2026-06-10,2026012101,"5,W",2026-04-11 11:41:11.644
720a6301-6f6b-4d25-b751-a1ecd0dc1bc7,DR-4898-TN,4898,TN,DR,Major Disaster,2026-02-06,2026,2,February,1,2026-02,2026,Winter Storm,SEVERE WINTER STORM,Benton (County),4,Region 4,2026-01-22,2026-01-27,,1,0,1,0,0,47,5,99005,26018,2026-06-10,2026012101,"5,W",2026-04-11 11:41:11.644
17d7ae4f-77d4-4846-81e2-4810bb2e332f,EM-3641-IN,3641,IN,EM,Emergency,2026-01-24,2026,1,January,1,2026-01,2026,Winter Storm,SEVERE WINTER STORM,Grant (County),5,Region 5,2026-01-23,2026-01-27,,0,0,1,0,0,18,53,99053,26013,,2026012402,S,2026-03-09 21:01:23.938
25fb2a78-ef0d-43d1-b93c-00dea73fee6a,EM-3641-IN,3641,IN,EM,Emergency,2026-01-24,2026,1,January,1,2026-01,2026,Winter Storm,SEVERE WINTER STORM,Laporte (County),5,Region 5,2026-01-23,2026-01-27,,0,0,1,0,0,18,91,99091,26013,,2026012402,S,2026-03-09 21:01:23.938
b88c8406-2618-4baa-835b-eedf7f4463e1,EM-3639-WV,3639,WV,EM,Emergency,2026-01-24,2026,1,January,1,2026-01,2026,Winter Storm,SEVERE WINTER STORM,Ritchie (County),3,Region 3,2026-01-23,2026-01-27,,0,0,1,0,0,54,85,99085,26010,,2026012101,"5,W",2026-03-09 20:41:23.336
c516d466-240d-487b-998c-f10cb0a72e25,EM-3637-NC,3637,NC,EM,Emergency,2026-01-24,2026,1,January,1,2026-01,2026,Winter Storm,SEVERE WINTER STORM,Sampson (County),4,Region 4,2026-01-21,2026-01-27,,0,0,1,0,0,37,163,99163,26016,,2026012101,"5,W",2026-02-20 17:21:20.486
