region,month,recordType,declarationRecords,lowerEstimate,upperEstimate,method,generatedAt
Region 1,2024-06-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2024-07-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2024-08-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2024-09-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2024-10-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2024-11-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2024-12-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2025-01-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2025-02-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2025-03-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2025-04-01,Forecast,0,0,1,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 1,2025-05-01,Forecast,0,0,2,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 2,2024-09-01,Forecast,78,69,87,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 2,2024-10-01,Forecast,78,69,87,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 2,2024-11-01,Forecast,78,69,87,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 2,2024-12-01,Forecast,78,69,87,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 2,2025-01-01,Forecast,78,69,87,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 2,2025-02-01,Forecast,78,69,87,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
Region 2,2025-03-01,Forecast,78,69,87,Seasonal moving average with recent-level adjustment,2026-07-20T18:55:24+00:00
